Row,Reference,Part,Value,P/N,Manufacturer,Footprint,Description,Quantity Per PCB
1,C3 C4 C5 C6 C7 C8 C9 C11 C12 C14 C15,C_Small,20 nF,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,11
2,C1,C-device,100 nF,,,C_Rect_L7_W3.5_P5,,1
3,C10 C13,C_Polarized,10 µF,,,CP_Radial_D8.0mm_P2.50mm,,2
4,C2,CP-device,100 µF,,,CP_Radial_D8.0mm_P2.50mm,,1
5,D7,1N4001,1N4001,,,D_DO-41_SOD81_P10.16mm_Horizontal,,1
6,D4 D5,1N914,1N914,,,D_SOD-123F,,2
7,D2,BAT41,BAT41,,,D_SOD-123F,,1
8,D1,LED-device,LED,,,LED-5MM,,1
9,D3 D6,LED,LED,,,LED_D3.0mm,,2
10,DRIVE1 LOW1 TONE1 VOL1,R_Potentiometer,500KA,,,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,,4
11,J2 J3,NMJ6HCD2,NMJ6HCD2,,,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,,2
12,J1 J4,CONN_01X02-conn,V+ GND,,,PinHeader_1x02_P2.54mm_Vertical,,2
13,JOVGI1 JOVGI2,CONN_01X04-conn,OVGI,,,Pin_Header_Straight_1x04_Pitch2.54mm,,2
14,N1,Housing,Housing,,,1590B,,1
15,Q2 Q5,2N7002,2N7002,,,SOT-23,,2
16,Q1 Q4,Q_NPN_ECB,2SC1815,,,TO-92L_HandSolder,,2
17,R1 R2 R3,R-device,1 MΩ,,,Resistor_Horizontal_RM7mm,,3
18,R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22,R,1 MΩ,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,19
19,SW1,SW_3PDT-switches,SW_3PDT,,,3PDT-Footswitch,,1
20,SW2,SW_SPDT_MSM,SW_SPDT,,,SW_Toggle_Blue_wSlots,,1
21,U1,RC4558,RC4558,,,SO-8_3.9x4.9mm_P1.27mm,,1





Project info:
Schematic:,GreenBean
Variant:,default
Revision:,
Date:,2023-08-09
KiCad Version:,7.0.5.1-1-g8f565ef7f0-dirty-deb11
Statistics:
Component Groups:,21
Component Count:,62
Fitted Components:,62
Number of PCBs:,1
Total Components:,62
