"Comment","Designator","Footprint","LCSC Part #"
"51p","C7","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"20n","C3","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"47n","C6","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"100nF","C1","C_Rect_L7_W3.5_P5",""
"100n","C14","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"150n","C5","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"220n","C8,C9,C12","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"1u","C4,C11,C15","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"10uF","C10","CP_Radial_D8.0mm_P2.50mm",""
"100uF","C13","CP_Radial_D8.0mm_P2.50mm",""
"100uF","C2","CP_Radial_D8.0mm_P2.50mm",""
"1N4001","D7","D_DO-41_SOD81_P10.16mm_Horizontal",""
"1N914","D4,D5","D_SOD-123F",""
"BAT41","D2","D_SOD-123F",""
"LED","D1","LED-5MM",""
"LED","D3,D6","LED_D3.0mm",""
"500KA","DRIVE1","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",""
"NMJ6HCD2","J2,J3","Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal",""
"V+ GND","J1,J4","PinHeader_1x02_P2.54mm_Vertical",""
"OVGI","JOVGI1,JOVGI2","Pin_Header_Straight_1x04_Pitch2.54mm",""
"20KB","LOW1,TONE1","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",""
"Housing","N1","1590B",""
"2N7002","Q2,Q5","SOT-23",""
"2SC1815","Q1,Q4","TO-92L_HandSolder",""
"47R","R20","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"100R","R21","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"220R","R13","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"1k","R5,R11,R14,R17","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"1K","R2","Resistor_Horizontal_RM7mm",""
"4k7","R8","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"10k","R7,R9,R12,R15,R16,R19,R22","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"51k","R10","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"510k","R6,R18","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"1M","R1,R3","Resistor_Horizontal_RM7mm",""
"1M","R4","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"SW_3PDT","SW1","3PDT-Footswitch",""
"SW_SPDT","SW2","SW_Toggle_Blue_wSlots",""
"RC4558","U1","SO-8_3.9x4.9mm_P1.27mm",""
"100KB","VOL1","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",""
