Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Rect_L7_W3.5_P5,1,100nF,
C10,CP_Radial_D8.0mm_P2.50mm,1,10uF,
"C11, C15, C4",0805,3,1u,
"C12, C8, C9",0805,3,220n,
"C13, C2",CP_Radial_D8.0mm_P2.50mm,2,100uF,
C14,0805,1,100n,
C3,0805,1,20n,
C5,0805,1,150n,
C6,0805,1,47n,
C7,0805,1,51p,
D1,LED-5MM,1,LED,
D2,D_SOD-123F,1,BAT41,
"D3, D6",LED_D3.0mm,2,LED,
"D4, D5",D_SOD-123F,2,1N914,
D7,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4001,
DRIVE1,Potentiometer_ALPHA_RV16106N,1,500KA,
"J1, J4",PinHeader_1x02_P2.54mm_Vertical,2,V+ GND,
"J2, J3",Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,2,NMJ6HCD2,
"JOVGI1, JOVGI2",Pin_Header_Straight_1x04_Pitch2.54mm,2,OVGI,
"LOW1, TONE1",Potentiometer_ALPHA_RV16106N,2,20KB,
N1,1590B,1,Housing,
"Q1, Q4",TO-92L_HandSolder,2,2SC1815,
"Q2, Q5",SOT-23,2,2N7002,
"R1, R3",Resistor_Horizontal_RM7mm,2,1M,
R10,0805,1,51k,
"R11, R14, R17, R5",0805,4,1k,
"R12, R15, R16, R19, R22, R7, R9",0805,7,10k,
R13,0805,1,220R,
"R18, R6",0805,2,510k,
R2,Resistor_Horizontal_RM7mm,1,1K,
R20,0805,1,47R,
R21,0805,1,100R,
R4,0805,1,1M,
R8,0805,1,4k7,
SW1,3PDT-Footswitch,1,SW_3PDT,
SW2,SW_Toggle_Blue_wSlots,1,SW_SPDT,
U1,SO-8_3.9x4.9mm_P1.27mm,1,RC4558,
VOL1,Potentiometer_ALPHA_RV16106N,1,100KB,
